timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
0,0.009213,-0.00292764,-9.80731,0.00398595,-0.000142534,0.0546371,0.283595,0.031664,0.500306
0.01,0.0297193,-0.0209889,-9.79679,-0.00439781,-0.00629081,0.0274088,0.310188,0.0305767,0.481131
0.02,-0.00574779,-0.00242612,-9.76782,0.0155502,-0.0210144,0.0424065,0.345468,0.0406298,0.52776
0.03,0.0087789,0.00394994,-9.78982,0.0187643,0.00845743,0.0517185,0.320055,-0.0184157,0.514096
0.04,0.0307455,-0.00207385,-9.80701,0.0127196,0.0137067,0.0637825,0.248561,-0.0436419,0.504092
0.05,-0.0317388,0.0224844,-9.8448,-0.000128,0.0168247,0.0457214,0.297706,0.029527,0.509799
0.06,0.00910185,-0.0416805,-9.80222,-0.0310464,0.00475194,0.0821628,0.309311,0.0558674,0.43715
0.07,0.0283727,-2.45604e-05,-9.8019,0.00226072,-0.00200148,0.062261,0.326467,0.0116368,0.482913
0.08,-0.0490601,-0.0135421,-9.80592,0.0145717,-0.00115325,0.0492008,0.293756,0.000587237,0.539708
0.09,-0.00632506,-0.0322417,-9.80437,0.000409843,0.00553801,0.0502839,0.303875,-0.0461168,0.498383
0.1,-0.0128984,0.0308616,-9.81776,-0.00487587,-0.0148173,0.0439969,0.270566,-0.00391159,0.428781
0.11,-0.0188862,0.00930125,-9.7865,-0.0098715,-0.00324505,0.0636121,0.299263,-0.011852,0.443918
0.12,0.0196364,0.0056203,-9.81861,-0.010258,-0.000268509,0.0598006,0.296205,-0.00514448,0.498815
0.13,-0.00299451,0.000613891,-9.81737,-0.000278458,-0.00384821,0.0486741,0.33453,-0.0211348,0.507448
0.14,0.0233438,0.026489,-9.82699,-0.00468668,0.00117859,0.052109,0.284937,0.0135189,0.484886
0.15,-0.006755,0.0364725,-9.82869,-0.0028751,0.0108486,0.0451224,0.259131,-0.0274892,0.461439
0.16,-0.0239278,-0.0249928,-9.81793,0.00535944,-0.0120579,0.0625471,0.278083,-0.00881852,0.501516
0.17,-0.00882073,-0.0140348,-9.81787,-0.0013439,0.00200448,0.0518699,0.300715,-0.0264025,0.54015
0.18,-0.0118417,-0.0140642,-9.77489,0.0245858,0.000953107,0.0549302,0.276873,-0.0679473,0.585063
0.19,0.015276,0.00126299,-9.75864,0.00147646,-0.00949715,0.0412242,0.27233,0.0294222,0.462973
0.2,0.00758393,-0.00244516,-9.79629,0.00137902,-0.00918186,0.0271378,0.287726,0.0445806,0.524427
0.21,0.00443184,-0.0087191,-9.79596,-0.00367678,-0.0113679,0.0536292,0.299143,0.0266066,0.48261
0.22,0.00984968,-0.00582157,-9.80304,0.00159338,0.0114375,0.0503156,0.350247,0.00803595,0.469874
0.23,-0.0175196,-0.00725576,-9.82452,0.00822712,0.00661384,0.0485053,0.364192,0.0255694,0.535122
0.24,-0.024066,0.0669856,-9.8148,0.0164968,-0.0032173,0.0465973,0.296061,0.020323,0.51115
0.25,0.0029816,0.00449795,-9.82227,-0.00583983,0.00275367,0.062379,0.286591,0.0229652,0.492938
0.26,-0.0114474,-0.0255708,-9.7865,-0.0264776,0.0176879,0.0525207,0.281122,-0.0154689,0.540623
0.27,-0.0205275,0.0445463,-9.80034,-0.00674486,0.00327444,0.070825,0.28378,0.0335599,0.524699
0.28,-0.0340996,-0.00772008,-9.77275,0.0102059,0.00150536,0.0420153,0.304357,-0.0757581,0.477263
0.29,0.0197728,-0.00042678,-9.7916,-0.0147093,-0.0130407,0.0501955,0.296174,0.0261377,0.461717
0.3,-0.0200625,-0.0010452,-9.80081,-0.0246207,-0.00410632,0.0604135,0.271185,-0.0442343,0.506261
0.31,0.0212562,0.00535095,-9.77805,0.0187395,0.0113855,0.0552696,0.361779,-0.00976054,0.477899
0.32,-0.00628202,0.00361067,-9.81748,-0.00283016,-0.00884159,0.0400285,0.278624,0.0141721,0.519805
